Title,Date,URL,Preview
Monthly AMAs are coming to the forums!,05-01-2024,/t5/Announcements/Monthly-AMAs-are-coming-to-the-forums/ba-p/1189326,"We’re so excited to start bringing you all Monthly AMAs (Ask Me
Anythings) to get you the inside scoop on questions that you've been
wanting to ask the Meta team. Each month we’ll either feature a spe..."
Meta Quest build v65 release notes,04-30-2024,/t5/Announcements/Meta-Quest-build-v65-release-notes/ba-p/1188916,"These features and enhancements will become available starting the week
of April 30, 2024 and will be pushed to Meta Quest 3, Meta Quest Pro and
Meta Quest 2 headsets. Please note that you can find th..."
"A Meta Quest Forum Week in Review: April 23, 2024",04-23-2024,/t5/Announcements/A-Meta-Quest-Forum-Week-in-Review-April-23-2024/ba-p/1185918,"The Meta Quest Forum Week in Review is a new installment to celebrate
YOU our community members on what's been going throughout the week. We
recognize all the great discussions and much more that you ..."
Meta Monthly: A March Madness Recap,04-18-2024,/t5/Announcements/Meta-Monthly-A-March-Madness-Recap/ba-p/1185767,"As the Winter months begin to melt away, we spring into a new happenings
here in the Meta Quest Forums and for the Meta Quest. March brought us
some cool new things in regards to a PTC, game, plus sof..."
PTC v65 Release Thread,04-17-2024,/t5/Announcements/PTC-v65-Release-Thread/ba-p/1185347,"Thanks everyone for all your feedback on our previous builds, several
bugs were identified in PTC v64 and the solutions for some have shipped,
while others are on the way! The Public Test Channel (PTC..."
Meta Quest build v64 release notes,04-08-2024,/t5/Announcements/Meta-Quest-build-v64-release-notes/ba-p/1180797,"These features and enhancements will become available starting the week
of April 8, 2024 and will be pushed to Meta Quest 3, Meta Quest Pro and
Meta Quest 2 headsets. Please note that you can find the..."
PTC v64 Release Thread,03-27-2024,/t5/Announcements/PTC-v64-Release-Thread/ba-p/1175077,"Thanks everyone for all your feedback on our previous builds, several
bugs were identified in PTC v63 and the solutions for some have shipped,
while others are on the way! The Public Test Channel (PTC..."
Meta Monthly February Recap: I <3 My Meta Quest,03-13-2024,/t5/Announcements/Meta-Monthly-February-Recap-I-lt-3-My-Meta-Quest/ba-p/1168226,"Cue song instrumentals…and go.... “L is for the way you look at me.”How
does it feel when you look into those sweet pancake lenses and play your
favorite VR game? Now that has to be some form of love ..."
‘Survivor: Horizon Island’ Brings the Hit CBS Original Series to Meta Quest,03-08-2024,/t5/Announcements/Survivor-Horizon-Island-Brings-the-Hit-CBS-Original-Series-to/ba-p/1165509,"The hit CBS Original series Survivor made its American debut in 2000,
and now fans can experience the reality show like never before with the
launch of Survivor: Horizon Island in Meta Horizon Worlds ..."
Eclectic Electric: ‘Beat Saber’ Daft Punk Music Pack Now Live,03-07-2024,/t5/Announcements/Eclectic-Electric-Beat-Saber-Daft-Punk-Music-Pack-Now-Live/ba-p/1164974,"The wait is over—the Daft Punk Music Pack is now live in Beat Saber!
Learn more and check out the full track list on the blog:
https://www.meta.com/blog/quest/beat-saber-daft-punk-music-pack/"
"Headspace Launches Immersive Mindfulness and Meditation App, ‘Headspace XR’",03-06-2024,/t5/Announcements/Headspace-Launches-Immersive-Mindfulness-and-Meditation-App/ba-p/1164507,"With a mission to improve access to lifelong mental health support,
Headspace has had an impact on over 100 million people’s lives across
200 countries and regions around the world. And whether you wa..."
Meta Quest build v63 release notes,03-05-2024,/t5/Announcements/Meta-Quest-build-v63-release-notes/ba-p/1163937,"These features and enhancements will become available starting the week
of March 5, 2024 and will be pushed to Meta Quest 3, Meta Quest Pro, and
Meta Quest 2 headsets. Please note that you can find th..."
Eclectic Electric: ‘Beat Saber’ Announces Daft Punk Music Pack Coming March 7,03-01-2024,/t5/Announcements/Eclectic-Electric-Beat-Saber-Announces-Daft-Punk-Music-Pack/ba-p/1161886,"With a legacy spanning three decades, Daft Punk is one of the world’s
most influential electronic music acts. And soon, you’ll be able to
slash to their synthesized beats with the upcoming launch of t..."
"How Virtual & Mixed Reality Are Changing the Face of Training for the Trades, Healthcare, & Sports",02-27-2024,/t5/Announcements/How-Virtual-amp-Mixed-Reality-Are-Changing-the-Face-of-Training/ba-p/1160091,"While it’s still early days for the metaverse, technologies like virtual
and mixed reality are already unlocking new possibilities to improve
skills acquisition and training. From people looking to ma..."
"Epic Adventure, Mouse-Scale Proportions: Polyarc Celebrates Six Years of ‘Moss’",02-27-2024,/t5/Announcements/Epic-Adventure-Mouse-Scale-Proportions-Polyarc-Celebrates-Six/ba-p/1160085,"Developer Polyarc is celebrating the sixth anniversary of Moss with a
bundle. You can (and should) pick up both Moss and Moss: Book IIfor 34%
off for a limited time, whether you played it on Rift or P..."
Feb AMA on our Discord This Friday,02-21-2024,/t5/Announcements/Feb-AMA-on-our-Discord-This-Friday/ba-p/1155738,"Hi everyone! This Friday, over in our Meta Quest Community Discord
server, we will be hosting our monthly AMA session. This month, our
guest will be Gustav Stenmark, a producer from Resolution Games. ..."
Meta Monthly January Recap: Kicking off the year right!,02-15-2024,/t5/Announcements/Meta-Monthly-January-Recap-Kicking-off-the-year-right/ba-p/1152485,"January kicked off the year right in the Quest world of VR, especially
when it comes to software and game titles. Need a recap of some of the
month’s big releases? Well look no further, this month’s n..."
PTC v63 Release Thread,02-15-2024,/t5/Announcements/PTC-v63-Release-Thread/ba-p/1152390,"Thanks everyone for all your feedback on our previous builds, several
bugs were identified in PTC v62 and the solutions for some have shipped,
while others are on the way! The Public Test Channel (PTC..."
Other Worlds Sale: Save Up to 60% Off Dozens of VR Games,02-15-2024,/t5/Announcements/Other-Worlds-Sale-Save-Up-to-60-Off-Dozens-of-VR-Games/ba-p/1152267,"From fully immersive games to experiences that seamlessly blend your
physical environment with digital content, Meta Quest is your ticket to
an expanded reality. And whether you’re just getting starte..."
Escape or Expire: ‘Ghosts of Tabor’ Officially Launches Today on Meta Quest,02-08-2024,/t5/Announcements/Escape-or-Expire-Ghosts-of-Tabor-Officially-Launches-Today-on/ba-p/1148742,"Ghosts of Tabor originally launched last March on App Lab, bringing the
excitement of a survival-extraction shooter to Meta Quest. Trapped and
isolated in the aftermath of “the nuclear night”, you and..."
"Hit the Lights: ‘Among Us VR’ Releases First-Ever Limited Time Event, ‘Lights Out’",02-08-2024,/t5/Announcements/Hit-the-Lights-Among-Us-VR-Releases-First-Ever-Limited-Time/ba-p/1148739,"Among Us VR is kicking off 2024 with its first-ever Limited Time Event,
“Lights Out.” From now until March 12, you’ll be able to hop into this
new tug-of-war style mode where Crewmates battle Impostor..."
What the Critics Are Saying: ‘Asgard’s Wrath 2’ Is a Hit,02-07-2024,/t5/Announcements/What-the-Critics-Are-Saying-Asgard-s-Wrath-2-Is-a-Hit/ba-p/1147848,"The critics have spoken, and Asgard’s Wrath 2 is a verifiable hit. The
reception has been incredible, and we’re humbled by the response. A
massive “thank you” goes out to all the players who’ve jumped..."
What to Watch: February 2024 Highlights,02-05-2024,/t5/Announcements/What-to-Watch-February-2024-Highlights/ba-p/1147075,"From the NBA to Naruto, YouTube to the UFC, there’s a wealth of content
to watch on Meta Quest this month. Learn more on the blog:
https://www.meta.com/blog/quest/what-to-watch-free-meta-quest-tv-vr-f..."
Superhero Sandbox: ‘Project Demigod’ Lets You Mix & Match Powers on Meta Quest,02-01-2024,/t5/Announcements/Superhero-Sandbox-Project-Demigod-Lets-You-Mix-amp-Match-Powers/ba-p/1145197,"With 10 ability sets and counting and dozens of possible combinations,
Project Demigod lets you live out your superhero fantasies with
satisfying physics-driven combat. And with over 100,000 copies so..."
Prepare to Enter the Upside Down: ‘Stranger Things VR’ Launches February 22,02-01-2024,/t5/Announcements/Prepare-to-Enter-the-Upside-Down-Stranger-Things-VR-Launches/ba-p/1145195,"It’s almost time to step into the Upside Down... Tender Claws just
announced that Stranger Things VR will launch February 22 on Meta Quest
3, 2, and Pro. Pre-order now to save 10% off the purchase pri..."
"‘Metro Awakening’ Heading to Meta Quest 2, 3, & Pro in 2024",02-01-2024,/t5/Announcements/Metro-Awakening-Heading-to-Meta-Quest-2-3-amp-Pro-in-2024/ba-p/1145192,"Vertigo Games and Deep Silver are proud to announce that they’re
bringing an all-new narrative-driven VR adventure to Meta Quest 2, 3,
and Pro, PS VR2, and PC VR later this year. A prequel from Metro ..."
Step Into the Multiverse with ‘Asgard’s Wrath 2’ & Its Second Cosmic Event,02-01-2024,/t5/Announcements/Step-Into-the-Multiverse-with-Asgard-s-Wrath-2-amp-Its-Second/ba-p/1145187,"Asgard’s Wrath 2 has been out in the wild for just over six weeks now,
and it’s been a little over a month since the first patch went live. The
dev team has been hard at work cooking up some new conte..."
Meta Quest build 62.0 release notes,02-01-2024,/t5/Announcements/Meta-Quest-build-62-0-release-notes/ba-p/1145169,"These features and enhancements will gradually become available starting
the week of February 7, 2024 and will be pushed to Meta Quest 3, Meta
Quest Pro, and Meta Quest 2 headsets. Please note that yo..."
The Magic Under the Hood: How AI Is Powering Meta’s Technologies Today + in the Future,01-25-2024,/t5/Announcements/The-Magic-Under-the-Hood-How-AI-Is-Powering-Meta-s-Technologies/ba-p/1142002,"There’s a well-worn saying that magicians never reveal their secrets.
But today, we’re taking you behind the scenes for a look at some of the
magic under the hood of Meta’s hardware. Visit the blog to..."
Come Out Swinging: Mech Brawler ‘UNDERDOGS’ Now Available on Meta Quest,01-25-2024,/t5/Announcements/Come-Out-Swinging-Mech-Brawler-UNDERDOGS-Now-Available-on-Meta/ba-p/1142000,"We’ve seen cockpit-based mech brawlers in VR in the past, but with its
cel-shaded art style, gritty atmosphere, and arm-based locomotion,
UNDERDOGS stands poised to set itself apart from what’s come b..."
Carbon Studio’s ‘Hunt Together’ Brings PvP Horror Home to Meta Quest,01-25-2024,/t5/Announcements/Carbon-Studio-s-Hunt-Together-Brings-PvP-Horror-Home-to-Meta/ba-p/1141995,"Since its startup days in 2015, Carbon Studio has been winning over VR
gamers with a lineup of titles spanning The Wizards and The Wizards -
Dark Times: Brotherhood to Crimen - Mercenary Tales, Warham..."
Transform Your Reality: Unique MR Platformer ‘Demeter’ Now Available on Meta Quest,01-25-2024,/t5/Announcements/Transform-Your-Reality-Unique-MR-Platformer-Demeter-Now/ba-p/1141809,"Unlike Novelab’s prior projects, Demeter is a full-fledged game—a
narrative platformer, specifically—built from the ground up for mixed
reality. In fact, at a couple of playtime hours (three or four f..."
A Look at Microsoft 365 PWAs on Meta Quest,01-24-2024,/t5/Announcements/A-Look-at-Microsoft-365-PWAs-on-Meta-Quest/ba-p/1141228,"You know what we love? Spreadsheets! And with Microsoft 365 progressive
web apps (PWAs) for the Meta Quest Platform, we can get our fix in VR
and MR. Learn more on the blog:
https://www.meta.com/blog/..."
Ready for Action: VR Extraction Shooter ‘Ghosts of Tabor’ Graduates to the Meta Quest Store on Febru,01-24-2024,/t5/Announcements/Ready-for-Action-VR-Extraction-Shooter-Ghosts-of-Tabor-Graduates/ba-p/1141100,"Following nearly a year of basic training on App Lab, Beyond Frames
Entertainment and Combat Waffle Studios have set their sights on the
Meta Quest Store for their critically acclaimed VR extraction s..."
The Official ‘Asgard’s Wrath 2’ Player’s Guide,01-23-2024,/t5/Announcements/The-Official-Asgard-s-Wrath-2-Player-s-Guide/ba-p/1140558,"Loki’s chaos must be stopped. The fate of reality is in your hands in
Asgard’s Wrath 2—only on Meta Quest. Check out the official player’s
guide on the blog:
https://www.meta.com/blog/quest/asgards-wr..."
Start Something New Sale: Save Up to 45% Off Dozens of VR Games,01-22-2024,/t5/Announcements/Start-Something-New-Sale-Save-Up-to-45-Off-Dozens-of-VR-Games/ba-p/1139822,"Cheers to new beginnings! The new year is in full swing, and it’s the
perfect time to jump into some new immersive adventures. Save up to 45%
off on dozens of titles during the Start Something New Sal..."
Shooty Shooty Bang Bang: ‘Bulletstorm’ Now Available on Meta Quest,01-18-2024,/t5/Announcements/Shooty-Shooty-Bang-Bang-Bulletstorm-Now-Available-on-Meta-Quest/ba-p/1137371,"It’s been 12 years since Bulletstorm first launched its unique brand of
hilarious ultraviolence. And today, Incuvo transports players back into
the shoes of hot-headed space mercenary Grayson Hunt—lit..."
‘Walkabout Mini Golf’ Launches New Around the World in 80 Days Course—Completing Its Jules Verne Tri,01-18-2024,/t5/Announcements/Walkabout-Mini-Golf-Launches-New-Around-the-World-in-80-Days/ba-p/1137369,"Grab your virtual putter and prepare for an extraordinary journey
departing from Port Eiffel—a Gilded Age airport for lighter-than-air
ships docked high above Paris as it hosts the 1889 World’s Fair. ..."
PTC v62 Release Thread,01-17-2024,/t5/Announcements/PTC-v62-Release-Thread/ba-p/1136359,"Thanks everyone for all your feedback on our previous builds, several
bugs were identified in PTC v60 and the solutions for some have shipped,
while others are on the way! The Public Test Channel (PTC..."
Meta Monthly: 2023 Community Wrap-Up Plus December Events Recap,01-11-2024,/t5/Announcements/Meta-Monthly-2023-Community-Wrap-Up-Plus-December-Events-Recap/ba-p/1133555,"We are now kickin’ off the New Year! Hope everyone is having a nice
fresh new start in 2024. If you’re like me, you spent most of the
holiday season on your Quest 3. I cozied up in my cabin on Real Fi..."
CES 2024: How Immersive Tech Is Redefining the Limits of Human Connection,01-11-2024,/t5/Announcements/CES-2024-How-Immersive-Tech-Is-Redefining-the-Limits-of-Human/ba-p/1133400,"CES 2024 is well underway in Las Vegas, and we had the chance to attend
an event hosted by Forbes and sponsored by Meta that explored the
intersection of immersive technologies like augmented and virt..."
Welcome to the Jungle: VR Mech Brawler ‘UNDERDOGS’ Launches January 25,01-11-2024,/t5/Announcements/Welcome-to-the-Jungle-VR-Mech-Brawler-UNDERDOGS-Launches-January/ba-p/1133396,"Revealed during the 2023 Meta Quest Gaming Showcase, physics-based VR
mech brawler UNDERDOGS was an instant fan favorite, winning over the
community with its cel-shaded art style and gritty cyberpunk ..."
‘POPULATION: ONE’ Launches Event Series 1: Earn Unique Rewards for Free,01-11-2024,/t5/Announcements/POPULATION-ONE-Launches-Event-Series-1-Earn-Unique-Rewards-for/ba-p/1133391,"The new year is in full swing, and POPULATION: ONE is back with its
first free content update of 2024: Event Series 1! Learn more on the
blog: https://www.meta.com/blog/quest/population-one-event-seri..."
Doja Cat Joins the Music Valley Lineup in Meta Horizon Worlds,01-09-2024,/t5/Announcements/Doja-Cat-Joins-the-Music-Valley-Lineup-in-Meta-Horizon-Worlds/ba-p/1132102,"I said what I said: The one and only Doja Cat is about to make her VR
premier. Learn more on the blog:
https://www.meta.com/blog/quest/doja-cat-scarlet-tour-vr-horizon-worlds"
Save Up to 60% Off 175+ Titles During the Meta Quest Holiday Sale!,12-18-2023,/t5/Announcements/Save-Up-to-60-Off-175-Titles-During-the-Meta-Quest-Holiday-Sale/ba-p/1117462,"Christmas is just a week away, and it’s time to shop our biggest sale of
the year! Save up to 60% off on 175+ titles during the Meta Quest
Holiday Sale, now through 11:59 pm PT on January 2. Learn mor..."
"Hit the Courts in ‘Racket Club,’ an All-New Sport Built For VR",12-14-2023,/t5/Announcements/Hit-the-Courts-in-Racket-Club-an-All-New-Sport-Built-For-VR/ba-p/1115607,"Racket sports are on the rise, and Racket Club is here to bring all the
fun and addictiveness of those sports to VR. Check out our interview
with Resolution Games Chief Creative Officer Mathieu Castel..."
Cuteness Overload: ‘Neko Atsume Purrfect Kitty Collector’ Now Available on Meta Quest,12-14-2023,/t5/Announcements/Cuteness-Overload-Neko-Atsume-Purrfect-Kitty-Collector-Now/ba-p/1115601,"Neko Atsume has been letting people collect and admire digital cats for
nearly a decade. And starting today, you can pick them up and give them
a cuddle, too! Learn more:
https://www.meta.com/blog/que..."
The Final Countdown: ‘Asgard’s Wrath 2’ Launches Tomorrow!,12-14-2023,/t5/Announcements/The-Final-Countdown-Asgard-s-Wrath-2-Launches-Tomorrow/ba-p/1115401,"It’s been just over four years since Asgard’s Wrath launched on the Rift
Platform. It was a landmark title for VR—helping to usher in a new era
of ambition and audacity among game developers. Fast-for..."
Xbox Cloud Gaming (Beta) Is Here!,12-13-2023,/t5/Announcements/Xbox-Cloud-Gaming-Beta-Is-Here/ba-p/1114996,"You can now stream hundreds of high-quality games to your own private
theater—no console or TV required. Learn more on the blog:
https://www.meta.com/blog/quest/xbox-cloud-gaming-beta-launch"
Meta Monthly: November means the holidays are near!,12-11-2023,/t5/Announcements/Meta-Monthly-November-means-the-holidays-are-near/ba-p/1114486,"The month of November kicked off the holiday season with lots of
happenings here in the forums and with the Meta Quest. Let’s dig a bit
deeper into all of that in this month’s Meta Monthly. The MVP Sq..."
Fred Is Back: ‘Arizona Sunshine 2’ Brings the Zombified Apocalypse Back to Meta Quest,12-07-2023,/t5/Announcements/Fred-Is-Back-Arizona-Sunshine-2-Brings-the-Zombified-Apocalypse/ba-p/1112770,"Arizona Sunshine® has been wowing zombiephiles and VR gamers alike since
its Rift debut in 2016. That’s seven years of post-apocalyptic carnage
served up with a side of wry humor. And now, fans of the..."
Build and Explore: ‘LEGO® Bricktales’ is Available Now on Meta Quest,12-07-2023,/t5/Announcements/Build-and-Explore-LEGO-Bricktales-is-Available-Now-on-Meta-Quest/ba-p/1112767,"There’s something very satisfying about building with LEGO® bricks. From
sorting the colorful plastic pieces to snapping them together, you can’t
help but feel accomplished when you see the end result..."
A Cracking Good Time: ‘Wallace & Gromit in The Grand Getaway’ Arrives on Meta Quest,12-07-2023,/t5/Announcements/A-Cracking-Good-Time-Wallace-amp-Gromit-in-The-Grand-Getaway/ba-p/1112747,"When the team at Atlas V met with the fine folks at Aardman, the synergy
was instant, thanks to a mutual admiration for storytelling and
innovation in animation. And that shared passion laid the found..."
Portals of Possibility: ‘Walkabout Mini Golf’ Adds New Meow Wolf Course,12-07-2023,/t5/Announcements/Portals-of-Possibility-Walkabout-Mini-Golf-Adds-New-Meow-Wolf/ba-p/1112708,"Meow Wolf is an art collective that blends sculpture, narrative, digital
art, world building, and more to create large-scale projects that
surprise, delight, sometimes confuse, and always inspire. And..."
A World Worth Saving: Pre-Order ‘Demeter’ to Save 10%,12-06-2023,/t5/Announcements/A-World-Worth-Saving-Pre-Order-Demeter-to-Save-10/ba-p/1112271,"Demeter is a unique adventure built from the ground up for mixed reality
(MR). In this one-of-a-kind platformer, you’ll solve puzzles, fight
enemies, and explore a new world—all in your own physical s..."
Developer Diary: Cosmic Events + Loki Anomalies Bring Live Ops to ‘Asgard’s Wrath 2’,12-06-2023,/t5/Announcements/Developer-Diary-Cosmic-Events-Loki-Anomalies-Bring-Live-Ops-to/ba-p/1112258,"T-minus nine days until the launch of Asgard’s Wrath 2—the epic follow
up to the hit VR title Asgard’s Wrath from Sanzaru Games. Today, we’re
revealing the vocal cast + sharing a look at the game’s li..."
Celebrating 10 Years of AI Innovation + the Future of AR/VR,12-06-2023,/t5/Announcements/Celebrating-10-Years-of-AI-Innovation-the-Future-of-AR-VR/ba-p/1112256,"This year marks the 10th anniversary of Meta’s Fundamental AI Research
(FAIR) team. Hear from Michael Abrash on what that means for the future
of AR &amp; VR:
https://www.meta.com/blog/quest/fair-10-year-..."
Meta Quest build v60 release notes,12-05-2023,/t5/Announcements/Meta-Quest-build-v60-release-notes/ba-p/1111914,"These features and enhancements will gradually become available starting
the week of December 4, 2023 and will be pushed to Meta Quest 3, Meta
Quest Pro and Meta Quest 2 headsets. Please note that you..."
"Become a Ninja Assassin in ‘Arashi: Castles of Sin - Final Cut,’ Out Now",12-05-2023,/t5/Announcements/Become-a-Ninja-Assassin-in-Arashi-Castles-of-Sin-Final-Cut-Out/ba-p/1111690,"It’s been just shy of six months since Skydance Interactive announced
that it was bringing the award-winning stealth-action VR game Arashi:
Castles of Sin to Meta Quest 2 and 3, PlayStation VR2, and P..."
"‘Beat Saber’ Launches Original Soundtrack 6 Featuring Lindsey Stirling, DragonForce, & More",12-05-2023,/t5/Announcements/Beat-Saber-Launches-Original-Soundtrack-6-Featuring-Lindsey/ba-p/1111602,"’Tis the season of gift-giving, and the Beat Saber team has a little
something special for your virtual stocking with today’s free launch of
Original Soundtrack 6! Learn more on the blog:
https://www...."
Boz to the Future Episode 16: 10 Years of FAIR with Guests Joelle Pineau + Yann LeCun,12-05-2023,/t5/Announcements/Boz-to-the-Future-Episode-16-10-Years-of-FAIR-with-Guests-Joelle/ba-p/1111598,"Welcome back for another episode of Boz to the Future, a podcast from
Reality Labs. In today’s episode, our host, Meta CTO and Head of Reality
Labs Andrew “Boz” Bosworth is joined by Meta VP of AI Res..."
"Future Forward: How Immersive Tech Is Changing the Face of Construction, Education, & Beyond",11-29-2023,/t5/Announcements/Future-Forward-How-Immersive-Tech-Is-Changing-the-Face-of/ba-p/1109150,"The metaverse is a big bet and a long-term ambition—and parts of the
metaverse are already with us, with people reaping the benefits of new
social experiences, educational tools, and more. Today, we’r..."
Summon Your Friends for Co-Op Spellcasting in ‘The Wizards - Dark Times’ Brotherhood Update,11-28-2023,/t5/Announcements/Summon-Your-Friends-for-Co-Op-Spellcasting-in-The-Wizards-Dark/ba-p/1108713,"Fans of VR spellcasting are in luck, as Carbon Studio and Vertigo Games
launch the Brotherhood Update for The Wizards - Dark Times on Meta Quest
2 + 3. Check out our interview with Carbon Studio Co-Fo..."
